Date,BAC,BP,EBAY,GM,HMC,HP,PYPL,RYAAY,SHEL,X
12/03/2024,35.31464767,35.14189529,50.20728683,38.92169571,35.20000076,38.05857849,60.02999878,54.28104782,62.64163208,46.66654968
13/03/2024,35.43249512,35.78432083,51.68658447,39.96397781,35.15999985,39.05756378,62.45000076,54.30451965,63.80687714,40.70869446
14/03/2024,35.04949188,35.94733047,51.52879333,39.09044647,35.24000168,38.90238571,63,53.27577209,63.8748436,38.11832428
15/03/2024,34.77451706,35.94733047,51.47948074,40.39081192,36.06000137,38.92177963,62.84999847,55.52884674,63.95252991,38.70613861
18/03/2024,35.36374664,36.23498535,50.64121246,40.51985931,36.43000031,38.98967361,64.23000336,56.24857712,64.22441864,38.72606277
19/03/2024,35.38338852,36.28292465,51.10472488,41.20478439,36.84999847,40.11474991,63.00999832,55.9043541,64.54486084,39.60280609
20/03/2024,36.09047318,36.33086777,51.25265884,42.53493118,37.08000183,40.10504913,65.05000305,57.11303711,64.991539,39.54302597
21/03/2024,36.83683014,36.17745209,51.28224182,43.10073853,37.43999863,40.31842422,66.13999939,57.14823914,64.91385651,39.90169144
22/03/2024,36.38508606,36.24456787,50.71024323,42.74338913,37.68000031,40.03715515,64.76999664,56.99568939,64.98182678,39.51314163
25/03/2024,36.19849777,36.68564224,50.52286911,43.22978592,37.27999878,40.85186386,66,56.99177551,65.46734619,40.10095596
26/03/2024,36.42436981,36.02403259,50.37494278,43.67647552,37.27999878,40.10504913,66.66999817,57.37511063,64.82646179,40.5393219
27/03/2024,37.13145065,35.91856003,51.20334625,44.26214218,37.31999969,40.95855331,66.56999969,57.11694717,64.82646179,40.86809921
28/03/2024,37.23947144,36.12950897,52.05147552,45.01655197,37.22999954,40.79367828,66.98999786,56.94874954,65.09835052,40.62899017
01/04/2024,36.84664917,36.37880707,51.54851532,45.066185,36.83000183,40.95855331,65.02999878,57.30469894,65.9528656,41.67510605
02/04/2024,36.63059998,37.0595932,51.14417648,44.55993271,36.34000015,41.38530731,64.66000366,55.81438828,67.73957825,41.24669647
